fileID,f1,f2,vot,notes
bi03_kaka,1050.46,1791.33,20.01,
bi03_kaka1,813.3,1595.7,21.39,
bi03_kaka2,892.12,1659.8,26.55,
bi03_keke,569.48,2454.55,26.72,
bi03_keke1,515.96,2281.49,19.07,
bi03_keke2,555.23,2457.71,21.09,
bi03_kiki,400.36,2657.24,25.35,
bi03_kiki1,354.01,2680.9,29.55,
bi03_kiki2,344.88,2378.54,22.6,
bi03_koko,588.65,818.24,24.02,
bi03_koko1,553.98,902.57,23.49,
bi03_koko2,759.63,1360.73,23.74,
bi03_kuku,333.76,751.01,23.37,
bi03_kuku1,294.03,1726.22,28,
bi03_kuku2,401.59,824.67,26.98,
bi03_paka,1191.33,1600.92,12.7,
bi03_paka1,798.65,1722.58,11.81,
bi03_paka2,604.17,1879.18,11.89,
bi03_peke,410.64,1700.26,20.31,
bi03_peke1,506.08,2351.56,9.63,
bi03_peke2,902.79,2497.49,13.58,
bi03_piki,350.61,2604.8,13.64,
bi03_piki1,318.39,2856.4,18.75,
bi03_piki2,1510.9,2961.83,14.73,
bi03_poko,533.99,876.22,24.45,
bi03_poko1,633.13,1869.05,7.9,
bi03_poko2,595.64,879.68,16.12,
bi03_puku,462.39,576.83,23.85,
bi03_puku1,699.95,1715.7,36.17,
bi03_puku2,432.74,814.15,11.83,
bi03_taka,795.94,1640.76,15.84,
bi03_taka1,886.52,1640.57,13.45,
bi03_taka2,833.61,1532.93,11.99,
bi03_teke,410.82,2349.24,16.11,
bi03_teke1,492.67,2406.16,14.93,
bi03_teke2,433.36,2440.39,14.17,
bi03_tiki,356.85,2505.49,11.4,
bi03_tiki1,888.18,2237.48,14.34,
bi03_tiki2,417.09,1905.22,18.95,
bi03_toko,795.63,973.48,17.77,
bi03_toko1,751.99,1142.44,11.79,
bi03_toko2,773.62,1061.37,14.12,
bi03_tuku,660.49,811.96,13.37,
bi03_tuku1,386.85,731.36,5.87,
bi03_tuku2,395.69,737.97,7.71,
