fileID,f1,f2,vot,notes
ne01_kaka,888.07,1648.85,14.8,
ne01_kaka1,950.47,1769.28,16.74,
ne01_kaka2,1074.88,1758.22,17.38,
ne01_keke,470.99,2484.59,35.66,
ne01_keke1,603.9,2474,20,
ne01_keke2,490.9,2646.25,23.7,
ne01_kiki,355.74,2845.27,18.24,
ne01_kiki1,958.08,2261.88,28.98,
ne01_kiki2,438.62,2781.91,29.37,
ne01_koko,665.98,1065.21,16.82,
ne01_koko1,577.65,1103.24,12.3,
ne01_koko2,649.22,1103.05,17.67,
ne01_kuku,487.75,1215.36,21.44,
ne01_kuku1,441.46,1007.64,17.16,
ne01_kuku2,1086.29,2129.31,11.18,
ne01_paka,757.5,1598.19,11.02,
ne01_paka1,797.88,1825.88,5.67,
ne01_paka2,847.54,1250.43,8.6,
ne01_peke,314.63,2150.13,4.37,
ne01_peke1,382.44,2989.54,14.62,
ne01_peke2,548.79,2698.09,6.62,
ne01_piki,400.48,2849.75,4.9,
ne01_piki1,419.54,2963.08,6.56,
ne01_piki2,379.17,2932.67,4.62,
ne01_poko,517.01,1082.6,19.72,
ne01_poko1,575.73,1155.71,13.91,
ne01_poko2,509.17,1056.3,4.99,
ne01_puku,422.51,1951.7,8.56,
ne01_puku1,449.86,1061.17,13.97,
ne01_puku2,438.81,1062.47,22.9,
ne01_taka,884.77,1702.06,9.1,
ne01_taka1,1210.37,1136.24,6.39,
ne01_taka2,925.35,1267.58,4.31,
ne01_teke,518.1,2000.1,8.71,
ne01_teke1,549.96,2417.07,6.21,
ne01_teke2,748.88,2500.86,3.66,
ne01_tiki,372.27,2135.39,4.88,
ne01_tiki1,384.19,2838.28,4.38,
ne01_tiki2,362.28,3011.21,15.66,
ne01_toko,580.28,981,3.69,
ne01_toko1,439.56,1017.48,9.82,
ne01_toko2,557.98,1063.93,6.03,
ne01_tuku,422.39,1605.9,19.29,
ne01_tuku1,414.2,1071.89,9.04,
ne01_tuku2,1051.79,1110.95,11.89,
